DEBUG 2024-03-12 19:33:27,236 autoreload File /usr/lib/python3.11/token.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1709743567.1267707
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/template/loaders/app_directories.py first seen with mtime 1709743567.1934373
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/conf/__init__.py first seen with mtime 1709743566.5067706
DEBUG 2024-03-12 19:33:27,236 autoreload File /usr/lib/python3.11/asyncio/exceptions.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/template/defaulttags.py first seen with mtime 1709743567.1934373
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/_distutils_hack/__init__.py first seen with mtime 1709743542.333433
DEBUG 2024-03-12 19:33:27,236 autoreload File /usr/lib/python3.11/uuid.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1709743566.7234373
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/transaction.py first seen with mtime 1709743567.1467707
DEBUG 2024-03-12 19:33:27,236 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/template/utils.py first seen with mtime 1709743567.1934373
DEBUG 2024-03-12 19:33:27,236 autoreload File /usr/lib/python3.11/lib-dynload/termios.cpython-311-x86_64-linux-gnu.so first seen with mtime 1706544237.0
